성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대
남성,1948,무응답,없슴,942.0,120.0,서울,73,경비원 및 검표원,노년
남성,1945,이혼,없슴,942.0,220.2,서울,76,경비원 및 검표원,노년
남성,1946,결혼,없슴,942.0,139.0,서울,75,경비원 및 검표원,노년
남성,1953,결혼,없슴,942.0,150.0,서울,68,경비원 및 검표원,노년
남성,1960,결혼,있슴,942.0,166.0,서울,61,경비원 및 검표원,노년
남성,1939,결혼,있슴,942.0,241.61901596892534,서울,82,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,150.0,수도권,74,경비원 및 검표원,노년
남성,1952,이혼,없슴,942.0,170.0,서울,69,경비원 및 검표원,노년
남성,1949,결혼,있슴,942.0,100.0,서울,72,경비원 및 검표원,노년
남성,1942,결혼,있슴,942.0,120.0,서울,79,경비원 및 검표원,노년
남성,1944,결혼,있슴,942.0,160.0,서울,77,경비원 및 검표원,노년
남성,1947,결혼,없슴,942.0,150.8,서울,74,경비원 및 검표원,노년
남성,1961,무응답,없슴,942.0,174.0,서울,60,경비원 및 검표원,노년
남성,1949,결혼,있슴,942.0,147.0,서울,72,경비원 및 검표원,노년
남성,1956,무응답,없슴,942.0,152.0,서울,65,경비원 및 검표원,노년
남성,1935,결혼,있슴,942.0,70.0,서울,86,경비원 및 검표원,노년
남성,1952,결혼,없슴,942.0,120.0,부산/경남/울산,69,경비원 및 검표원,노년
남성,1948,결혼,있슴,942.0,130.0,부산/경남/울산,73,경비원 및 검표원,노년
남성,1955,결혼,없슴,942.0,140.8,부산/경남/울산,66,경비원 및 검표원,노년
남성,1939,결혼,없슴,942.0,83.0,부산/경남/울산,82,경비원 및 검표원,노년
남성,1955,결혼,있슴,942.0,147.0,부산/경남/울산,66,경비원 및 검표원,노년
남성,1947,결혼,없슴,942.0,130.0,부산/경남/울산,74,경비원 및 검표원,노년
남성,1945,무응답,있슴,942.0,86.0,부산/경남/울산,76,경비원 및 검표원,노년
남성,1944,결혼,있슴,942.0,90.0,부산/경남/울산,77,경비원 및 검표원,노년
남성,1949,결혼,없슴,942.0,120.0,부산/경남/울산,72,경비원 및 검표원,노년
남성,1945,결혼,있슴,942.0,117.8,부산/경남/울산,76,경비원 및 검표원,노년
남성,1960,이혼,없슴,942.0,250.0,대구/경북,61,경비원 및 검표원,노년
남성,1957,결혼,없슴,942.0,100.0,대구/경북,64,경비원 및 검표원,노년
남성,1942,결혼,없슴,942.0,241.61901596892534,대구/경북,79,경비원 및 검표원,노년
남성,1953,결혼,있슴,942.0,126.0,수도권,68,경비원 및 검표원,노년
남성,1943,결혼,있슴,942.0,100.0,수도권,78,경비원 및 검표원,노년
남성,1942,결혼,있슴,942.0,120.0,수도권,79,경비원 및 검표원,노년
남성,1940,결혼,없슴,942.0,241.61901596892534,수도권,81,경비원 및 검표원,노년
남성,1943,결혼,없슴,942.0,139.0,수도권,78,경비원 및 검표원,노년
남성,1941,결혼,있슴,942.0,124.0,수도권,80,경비원 및 검표원,노년
남성,1943,무응답,없슴,942.0,127.0,광주/전남/전북/제주도,78,경비원 및 검표원,노년
남성,1942,결혼,있슴,942.0,120.4,광주/전남/전북/제주도,79,경비원 및 검표원,노년
남성,1954,결혼,없슴,942.0,135.0,광주/전남/전북/제주도,67,경비원 및 검표원,노년
남성,1944,결혼,있슴,942.0,95.0,대전/충남,77,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,140.0,수도권,74,경비원 및 검표원,노년
남성,1951,결혼,있슴,942.0,169.0,수도권,70,경비원 및 검표원,노년
여성,1973,결혼,없슴,942.0,130.0,수도권,48,경비원 및 검표원,중년
남성,1946,결혼,있슴,942.0,131.7,수도권,75,경비원 및 검표원,노년
남성,1953,결혼,있슴,942.0,109.0,수도권,68,경비원 및 검표원,노년
여성,1970,결혼,있슴,942.0,241.61901596892534,수도권,51,경비원 및 검표원,중년
남성,1962,결혼,있슴,942.0,205.0,수도권,59,경비원 및 검표원,중년
남성,1960,이혼,없슴,942.0,200.0,수도권,61,경비원 및 검표원,노년
남성,1947,결혼,없슴,942.0,130.0,수도권,74,경비원 및 검표원,노년
남성,1942,결혼,있슴,942.0,108.0,수도권,79,경비원 및 검표원,노년
남성,1953,결혼,없슴,942.0,140.0,수도권,68,경비원 및 검표원,노년
남성,1943,결혼,없슴,942.0,140.0,수도권,78,경비원 및 검표원,노년
남성,1946,결혼,없슴,942.0,130.0,수도권,75,경비원 및 검표원,노년
남성,1956,결혼,있슴,942.0,130.0,강원/충북,65,경비원 및 검표원,노년
남성,1986,무응답,없슴,942.0,210.0,강원/충북,35,경비원 및 검표원,중년
남성,1958,결혼,없슴,942.0,314.2,강원/충북,63,경비원 및 검표원,노년
남성,1945,결혼,없슴,942.0,70.9,강원/충북,76,경비원 및 검표원,노년
남성,1977,무응답,있슴,942.0,170.0,강원/충북,44,경비원 및 검표원,중년
남성,1944,결혼,없슴,942.0,125.0,강원/충북,77,경비원 및 검표원,노년
남성,1937,결혼,없슴,942.0,178.8,강원/충북,84,경비원 및 검표원,노년
남성,1956,결혼,없슴,942.0,153.33,대전/충남,65,경비원 및 검표원,노년
남성,1962,결혼,있슴,942.0,165.0,광주/전남/전북/제주도,59,경비원 및 검표원,중년
남성,1952,결혼,있슴,942.0,122.58,광주/전남/전북/제주도,69,경비원 및 검표원,노년
남성,1954,결혼,없슴,942.0,144.3,광주/전남/전북/제주도,67,경비원 및 검표원,노년
남성,1949,결혼,없슴,942.0,131.0,광주/전남/전북/제주도,72,경비원 및 검표원,노년
남성,1952,무응답,있슴,942.0,140.0,광주/전남/전북/제주도,69,경비원 및 검표원,노년
남성,1942,결혼,없슴,942.0,90.0,광주/전남/전북/제주도,79,경비원 및 검표원,노년
여성,1938,무응답,있슴,942.0,80.0,광주/전남/전북/제주도,83,경비원 및 검표원,노년
남성,1946,결혼,있슴,942.0,140.0,광주/전남/전북/제주도,75,경비원 및 검표원,노년
남성,1943,결혼,없슴,942.0,152.3,광주/전남/전북/제주도,78,경비원 및 검표원,노년
여성,1958,결혼,있슴,942.0,170.2,대구/경북,63,경비원 및 검표원,노년
남성,1942,무응답,없슴,942.0,115.3,대구/경북,79,경비원 및 검표원,노년
남성,1945,결혼,있슴,942.0,140.0,부산/경남/울산,76,경비원 및 검표원,노년
남성,1946,결혼,있슴,942.0,171.6,부산/경남/울산,75,경비원 및 검표원,노년
남성,1952,결혼,있슴,942.0,135.0,대구/경북,69,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,142.5,서울,74,경비원 및 검표원,노년
남성,1952,결혼,없슴,942.0,145.4,대전/충남,69,경비원 및 검표원,노년
남성,1962,무응답,없슴,942.0,125.0,부산/경남/울산,59,경비원 및 검표원,중년
남성,1944,결혼,없슴,942.0,120.0,부산/경남/울산,77,경비원 및 검표원,노년
남성,1957,결혼,있슴,942.0,150.0,부산/경남/울산,64,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,100.0,광주/전남/전북/제주도,74,경비원 및 검표원,노년
남성,1969,결혼,없슴,942.0,191.0,광주/전남/전북/제주도,52,경비원 및 검표원,중년
남성,1941,결혼,없슴,942.0,72.5,광주/전남/전북/제주도,80,경비원 및 검표원,노년
남성,1948,결혼,있슴,942.0,138.3,수도권,73,경비원 및 검표원,노년
남성,1950,결혼,없슴,942.0,153.7,수도권,71,경비원 및 검표원,노년
남성,1951,결혼,없슴,942.0,126.6,광주/전남/전북/제주도,70,경비원 및 검표원,노년
남성,1942,결혼,없슴,942.0,75.0,수도권,79,경비원 및 검표원,노년
남성,1941,결혼,있슴,942.0,95.0,부산/경남/울산,80,경비원 및 검표원,노년
남성,1950,결혼,있슴,942.0,120.0,수도권,71,경비원 및 검표원,노년
남성,1953,결혼,있슴,942.0,95.0,수도권,68,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,60.0,부산/경남/울산,74,경비원 및 검표원,노년
남성,1947,결혼,있슴,942.0,120.0,수도권,74,경비원 및 검표원,노년
남성,1943,결혼,있슴,942.0,123.8,부산/경남/울산,78,경비원 및 검표원,노년
남성,1945,결혼,있슴,942.0,93.0,수도권,76,경비원 및 검표원,노년
남성,1941,결혼,없슴,942.0,70.0,대구/경북,80,경비원 및 검표원,노년
남성,1952,결혼,없슴,942.0,150.0,대전/충남,69,경비원 및 검표원,노년
남성,1952,결혼,있슴,942.0,150.0,대전/충남,69,경비원 및 검표원,노년
남성,1950,결혼,없슴,942.0,153.0,대전/충남,71,경비원 및 검표원,노년
남성,1938,결혼,있슴,942.0,71.7,수도권,83,경비원 및 검표원,노년
남성,1943,결혼,없슴,942.0,90.0,수도권,78,경비원 및 검표원,노년
남성,1942,이혼,있슴,762.0,200.0,서울,79,전기공,노년
남성,1965,결혼,없슴,762.0,241.61901596892534,서울,56,전기공,중년
남성,1970,무응답,없슴,762.0,241.61901596892534,광주/전남/전북/제주도,51,전기공,중년
남성,1960,결혼,있슴,762.0,387.5,서울,61,전기공,노년
남성,1982,무응답,없슴,762.0,416.7,부산/경남/울산,39,전기공,중년
남성,1972,무응답,있슴,762.0,233.1,부산/경남/울산,49,전기공,중년
남성,1958,결혼,있슴,762.0,150.4,대구/경북,63,전기공,노년
남성,1960,결혼,있슴,762.0,415.0,대구/경북,61,전기공,노년
남성,1961,결혼,있슴,762.0,291.5,수도권,60,전기공,노년
여성,1988,무응답,있슴,762.0,191.0,부산/경남/울산,33,전기공,중년
남성,1955,결혼,없슴,762.0,591.33,부산/경남/울산,66,전기공,노년
남성,1963,무응답,없슴,762.0,183.3,수도권,58,전기공,중년
남성,1957,결혼,있슴,762.0,210.0,수도권,64,전기공,노년
남성,1970,결혼,있슴,762.0,195.8,수도권,51,전기공,중년
남성,1970,결혼,없슴,762.0,391.0,수도권,51,전기공,중년
남성,1966,결혼,있슴,762.0,241.61901596892534,수도권,55,전기공,중년
남성,1972,결혼,없슴,762.0,275.16,대전/충남,49,전기공,중년
남성,1963,결혼,없슴,762.0,175.0,수도권,58,전기공,중년
남성,1948,무응답,있슴,762.0,241.61901596892534,수도권,73,전기공,노년
남성,1977,무응답,없슴,762.0,300.0,수도권,44,전기공,중년
남성,1976,결혼,없슴,762.0,489.8,강원/충북,45,전기공,중년
남성,1958,결혼,있슴,762.0,241.61901596892534,대전/충남,63,전기공,노년
남성,1985,무응답,있슴,762.0,253.0,대전/충남,36,전기공,중년
남성,1978,결혼,있슴,762.0,161.0,광주/전남/전북/제주도,43,전기공,중년
남성,1975,무응답,있슴,762.0,210.0,수도권,46,전기공,중년
남성,1977,무응답,없슴,762.0,241.61901596892534,광주/전남/전북/제주도,44,전기공,중년
남성,1972,이혼,없슴,762.0,233.3,대구/경북,49,전기공,중년
남성,1962,결혼,있슴,530.0,241.61901596892534,서울,59,방문 노점 및 통신 판매 관련 종사자,중년
남성,1964,무응답,없슴,530.0,241.61901596892534,서울,57,방문 노점 및 통신 판매 관련 종사자,중년
남성,1982,무응답,있슴,530.0,180.0,서울,39,방문 노점 및 통신 판매 관련 종사자,중년
남성,1960,결혼,없슴,530.0,241.61901596892534,서울,61,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,없슴,530.0,240.0,서울,56,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,이혼,없슴,530.0,241.61901596892534,서울,64,방문 노점 및 통신 판매 관련 종사자,노년
남성,1988,무응답,있슴,530.0,150.0,서울,33,방문 노점 및 통신 판매 관련 종사자,중년
여성,1944,결혼,있슴,530.0,241.61901596892534,서울,77,방문 노점 및 통신 판매 관련 종사자,노년
남성,1945,결혼,없슴,530.0,241.61901596892534,서울,76,방문 노점 및 통신 판매 관련 종사자,노년
여성,1976,무응답,있슴,530.0,175.0,서울,45,방문 노점 및 통신 판매 관련 종사자,중년
여성,1974,결혼,있슴,530.0,66.6,서울,47,방문 노점 및 통신 판매 관련 종사자,중년
여성,1942,결혼,없슴,530.0,241.61901596892534,서울,79,방문 노점 및 통신 판매 관련 종사자,노년
남성,1981,결혼,없슴,530.0,200.0,서울,40,방문 노점 및 통신 판매 관련 종사자,중년
남성,1980,무응답,있슴,530.0,150.0,서울,41,방문 노점 및 통신 판매 관련 종사자,중년
여성,1972,결혼,없슴,530.0,113.9,서울,49,방문 노점 및 통신 판매 관련 종사자,중년
여성,1964,결혼,있슴,530.0,100.0,서울,57,방문 노점 및 통신 판매 관련 종사자,중년
여성,1947,이혼,없슴,530.0,241.61901596892534,서울,74,방문 노점 및 통신 판매 관련 종사자,노년
남성,1950,결혼,있슴,530.0,241.61901596892534,서울,71,방문 노점 및 통신 판매 관련 종사자,노년
남성,1980,무응답,없슴,530.0,213.0,서울,41,방문 노점 및 통신 판매 관련 종사자,중년
남성,1940,결혼,있슴,530.0,241.61901596892534,부산/경남/울산,81,방문 노점 및 통신 판매 관련 종사자,노년
여성,1944,결혼,있슴,530.0,241.61901596892534,부산/경남/울산,77,방문 노점 및 통신 판매 관련 종사자,노년
여성,1983,결혼,없슴,530.0,241.61901596892534,부산/경남/울산,38,방문 노점 및 통신 판매 관련 종사자,중년
남성,1983,결혼,없슴,530.0,241.61901596892534,부산/경남/울산,38,방문 노점 및 통신 판매 관련 종사자,중년
