gender,age,marriage,religion,income
남자,40,이혼,있슴,135
남자,40,이혼,있슴,196
남자,40,이혼,있슴,193
남자,40,이혼,없슴,159
남자,40,이혼,없슴,195
남자,40,이혼,있슴,159
남자,40,이혼,있슴,117
남자,47,미혼,없슴,193
남자,47,미혼,있슴,152
남자,47,미혼,있슴,152
남자,47,미혼,없슴,161
남자,47,미혼,있슴,152
남자,47,미혼,없슴,189
남자,47,미혼,없슴,168
남자,47,미혼,있슴,120
남자,47,미혼,없슴,103
남자,47,미혼,있슴,154
남자,47,미혼,있슴,102
남자,47,미혼,있슴,190
남자,47,미혼,없슴,148
남자,47,미혼,있슴,152
남자,47,미혼,있슴,175
남자,47,미혼,없슴,130
남자,47,미혼,있슴,183
남자,47,미혼,있슴,161
남자,47,미혼,없슴,185
남자,47,미혼,없슴,112
남자,47,미혼,없슴,165
남자,47,미혼,있슴,139
남자,47,미혼,없슴,176
남자,47,미혼,없슴,146
남자,47,미혼,없슴,178
남자,47,미혼,있슴,161
남자,47,미혼,있슴,196
남자,47,미혼,없슴,135
남자,47,미혼,없슴,110
남자,47,미혼,없슴,198
남자,47,미혼,없슴,141
남자,47,미혼,있슴,147
남자,47,미혼,없슴,102
남자,47,미혼,없슴,196
남자,47,미혼,있슴,117
남자,47,미혼,없슴,135
남자,47,미혼,없슴,176
남자,47,미혼,있슴,120
남자,47,미혼,없슴,150
남자,47,미혼,없슴,159
남자,47,미혼,있슴,191
남자,47,미혼,없슴,194
남자,47,미혼,있슴,198
남자,47,미혼,없슴,170
남자,47,미혼,있슴,154
남자,47,미혼,없슴,150
남자,47,미혼,없슴,130
남자,47,미혼,있슴,101
남자,47,미혼,없슴,137
남자,47,미혼,있슴,106
남자,47,미혼,있슴,100
남자,47,미혼,없슴,194
남자,47,미혼,있슴,108
남자,47,미혼,없슴,128
남자,47,미혼,있슴,108
남자,47,미혼,없슴,143
남자,47,미혼,없슴,112
남자,47,미혼,없슴,147
남자,47,미혼,없슴,130
남자,47,미혼,없슴,162
남자,47,미혼,없슴,175
남자,47,미혼,없슴,158
남자,47,미혼,있슴,183
남자,47,미혼,없슴,134
남자,47,미혼,있슴,107
